"TimeStamp";"KW_1_Count";"KW_2_Count";"Color_1";"Color_2";"Face_1";"Face_2";"Text_1";"Text_2";"Semantic_1";"Semantic_2";"SortedBy"
1546952447954;0;0;off;off;off;off;off;off;off;off;None
1546952871799;1;0;off;off;off;off;off;off;off;off;Keyword
1546953085773;1;0;off;off;off;off;off;off;on;off;Semantic
1546954542095;0;0;off;off;off;off;off;off;off;off;None
1546954558736;1;0;off;off;off;off;off;off;off;off;Keyword
1546954570640;1;0;off;off;off;off;off;off;on;off;Semantic
1546954578754;1;1;off;off;off;off;off;off;on;off;Semantic
1546955784843;0;0;off;off;off;off;off;off;off;off;None
1546955793682;1;0;off;off;off;off;off;off;off;off;Keyword
1546955801569;1;1;off;off;off;off;off;off;off;off;Keyword
1546956297797;0;0;off;off;off;off;off;off;off;off;None
1546956326376;0;0;off;off;on;off;off;off;off;off;ColorSketch
1546956329538;0;0;off;off;on;off;off;off;off;off;ColorSketch
1546956332190;0;0;off;off;on;off;off;off;off;off;ColorSketch
1546956336275;1;0;off;off;on;off;off;off;off;off;Keyword
1546956346660;1;0;off;on;on;off;off;off;off;off;Keyword
1546956347733;1;0;off;on;on;off;off;off;off;off;Keyword
1546956356384;1;0;off;off;on;off;off;off;off;off;Keyword
1546956375988;1;0;off;off;on;off;off;off;off;off;ColorSketch
1546956401463;1;0;on;off;on;off;off;off;off;off;Keyword
1546956414959;1;0;on;off;on;off;off;off;off;off;ColorSketch
1546956426542;1;0;on;off;on;off;off;off;off;off;ColorSketch
1546956428738;1;0;on;off;on;off;off;off;off;off;ColorSketch
1546956430870;1;0;on;off;on;off;off;off;off;off;ColorSketch
1546956439882;1;0;on;off;on;off;off;off;off;off;ColorSketch
1546956459793;1;0;on;off;on;off;off;off;off;off;ColorSketch
1546956460910;1;0;on;off;on;off;off;off;off;off;ColorSketch
1546956461872;1;0;on;off;on;off;off;off;off;off;ColorSketch
1546956462976;1;0;on;off;on;off;off;off;off;off;ColorSketch
1546956465147;1;0;off;off;on;off;off;off;off;off;ColorSketch
1546956490316;1;1;off;off;on;off;off;off;off;off;ColorSketch
1546956517779;1;0;off;off;on;off;off;off;off;off;ColorSketch
1546956520731;1;1;off;off;on;off;off;off;off;off;Keyword
1546956989294;0;0;off;off;off;off;off;off;off;off;None
1546957135315;1;0;off;off;off;off;off;off;off;off;Keyword
1546957138012;1;1;off;off;off;off;off;off;off;off;Keyword
1546957633642;0;0;off;off;off;off;off;off;off;off;None
1546957652494;0;0;off;off;on;off;off;off;off;off;ColorSketch
1546957655088;0;0;off;off;on;on;off;off;off;off;ColorSketch
1546957656451;0;0;off;off;on;on;off;off;off;off;ColorSketch
1546957662456;0;0;off;off;on;on;off;off;off;off;ColorSketch
1546957667646;0;0;off;off;on;on;off;off;off;off;ColorSketch
1546957681623;0;0;off;off;on;on;off;off;off;off;ColorSketch
1546957683220;0;0;off;off;on;on;off;off;off;off;ColorSketch
1546957684594;0;0;off;off;on;on;off;off;off;off;ColorSketch
1546957686727;0;0;off;off;on;on;off;off;off;off;ColorSketch
1546957690166;0;0;off;off;on;off;off;off;off;off;ColorSketch
1546957711456;0;0;off;off;on;off;off;off;off;off;ColorSketch
1546957713673;0;0;off;off;on;off;off;off;off;off;ColorSketch
1546957725431;0;0;off;off;on;off;off;off;off;off;ColorSketch
1546957730704;0;0;off;off;on;off;off;off;off;off;ColorSketch
1546957740423;0;0;off;off;on;off;off;off;off;off;ColorSketch
1546957752242;1;0;off;off;on;off;off;off;off;off;Keyword
1546958704813;0;0;off;off;off;off;off;off;off;off;None
1546958719259;0;1;off;off;off;off;off;off;off;off;None
1546958723865;1;1;off;off;off;off;off;off;off;off;Keyword
1546958741531;1;1;off;off;off;off;off;off;off;off;Keyword
1546958777994;1;1;off;off;off;off;off;off;off;off;Keyword
1546958949156;1;1;off;on;off;off;off;off;off;off;Keyword
1546958959777;1;1;off;off;off;off;off;off;off;off;Keyword
1546958965588;1;1;off;off;off;off;off;off;off;off;Keyword
1546958978163;1;0;off;off;off;off;off;off;off;off;Keyword
1546958980217;1;1;off;off;off;off;off;off;off;off;Keyword
1546958996474;1;1;off;off;off;off;off;off;off;off;Keyword
1546959002338;1;1;off;off;off;off;off;off;off;off;Keyword
1546959024339;1;1;off;off;off;off;off;off;off;off;Keyword
1546959039990;0;1;off;off;off;off;off;off;off;off;None
1546959044098;1;1;off;off;off;off;off;off;off;off;Keyword
1546959050985;0;1;off;off;off;off;off;off;off;off;None
1546959053405;1;1;off;off;off;off;off;off;off;off;Keyword
1546959068579;1;1;off;off;off;off;off;off;off;off;Keyword
1546959110376;1;1;off;off;off;off;off;off;on;off;Semantic
1546959113138;0;1;off;off;off;off;off;off;on;off;Semantic
1546959123341;0;1;off;off;off;off;off;off;on;off;Semantic
1546959125540;0;1;off;off;off;off;off;off;on;off;Semantic
1546959127272;0;1;off;off;off;off;off;off;on;off;Semantic
1546959139192;1;1;off;off;off;off;off;off;on;off;Keyword
1546959150920;1;1;off;off;off;off;off;off;on;off;Keyword
1546959152603;1;1;off;off;off;off;off;off;on;off;Keyword
