"TimeStamp";"TimeAfterStart";"TimeBeforeSubmission";"10sId";"TaskName";"TaskNameShort";"TopVideoPosition";"TopShotPosition";"TopVideoPositionBeforeFilter";"TopShotPositionBeforeFilter";"KW_1";"KW_1_Words";"KW_1_IDS";"KW_2";"KW_2_Words";"KW_2_IDS";"Color_1";"Color_2";"Face_1";"Face_2";"Text_1";"Text_2";"Semantic_1";"Semantic_2";"SortedBy";"ModelsChanged";"TaskStart";"TaskEnd";"FirstSuccessfulSubmission";"IsAfterSuccessfulSubmission";"QueryFileCreated";"QueryFileModified";"QueryFileModifiedDiff";"EnabledModels"
1546952887952;34.914;254.957;3;Textual2019-18;T1;49;49;175;175;1;parachute;643;0;;;0;0;0;0;0;0;off;off;Keyword;KW_1;1546952853038;1546953333051;1546953142909;FALSE;1546952888018;1546952888019;0.0009971;KW_1
1546952928499;75.461;214.41;7;Textual2019-18;T1;955;-1;1469;-1;1;parachute;643;0;;;1;0;0;0;0;0;off;off;ColorSketch;Color_1;1546952853038;1546953333051;1546953142909;FALSE;;;;KW_1 Color_1
1546952929202;76.164;213.707;7;Textual2019-18;T1;497;497;NA;NA;1;parachute;643;0;;;1;0;0;0;0;0;off;off;ColorSketch;Color_1;1546952853038;1546953333051;1546953142909;FALSE;1546952929261;1546952931264;2.0026045;KW_1 Color_1
1546952931205;78.167;211.704;7;Textual2019-18;T1;11;11;6;6;1;parachute;643;0;;;1;0;0;0;0;0;off;off;Keyword;;1546952853038;1546953333051;1546953142909;FALSE;;;;KW_1 Color_1
1546953267403;414.365;-124.494;41;Textual2019-18;T1;1;1;1;1;1;parachute;643;0;;;1;0;0;0;0;0;on;off;Semantic;Semantic_1;1546952853038;1546953333051;1546953142909;TRUE;1546953267466;1546953267482;0.0159574;KW_1 Color_1 Semantic_1
1546954545157;-9.524;73.41;-1;Visual2019-10;V1;14425;-1;111968;112093;0;;;0;;;0;0;0;0;0;0;off;off;None;Semantic_1;1546954554681;1546954726644;1546954618567;FALSE;1546954545194;1546954545211;0.0169192;
1546954564654;9.973;53.913;0;Visual2019-10;V1;5143;-1;12099;44896;0;;;0;;;1;0;0;0;0;0;off;off;ColorSketch;Color_1;1546954554681;1546954726644;1546954618567;FALSE;1546954564722;1546954564732;0.0099728;Color_1
1546954566850;12.169;51.717;1;Visual2019-10;V1;5796;-1;14158;37644;0;;;0;;;1;0;0;0;0;0;off;off;ColorSketch;Color_1;1546954554681;1546954726644;1546954618567;FALSE;1546954566905;1546954566939;0.0338709;Color_1
1546954571593;16.912;46.974;1;Visual2019-10;V1;2527;-1;4288;37575;0;;;0;;;1;1;0;0;0;0;off;off;ColorSketch;Color_2;1546954554681;1546954726644;1546954618567;FALSE;1546954571656;1546954571672;0.0159578;Color_1 Color_2
1546954575412;20.731;43.155;2;Visual2019-10;V1;18;-1;18;-1;1;dog;119+35+120+121+122+123+124+125+126+127+128+129+130+131+132;0;;;1;1;0;0;0;0;off;off;Keyword;KW_1;1546954554681;1546954726644;1546954618567;FALSE;1546954575469;1546954575475;0.0059831;KW_1 Color_1 Color_2
1546954582874;28.193;35.693;2;Visual2019-10;V1;5;-1;6;-1;1;dog;119+35+120+121+122+123+124+125+126+127+128+129+130+131+132;0;;;1;1;0;0;0;0;off;off;Keyword;Color_2;1546954554681;1546954726644;1546954618567;FALSE;1546954582936;1546954582943;0.0069797;KW_1 Color_1 Color_2
1546954654515;99.834;-35.948;9;Visual2019-10;V1;506;-1;600;-1;1;dog;119+35+120+121+122+123+124+125+126+127+128+129+130+131+132;0;;;1;1;0;0;0;0;on;off;Semantic;Semantic_1;1546954554681;1546954726644;1546954618567;TRUE;1546954654580;1546954654588;0.0079768;KW_1 Color_1 Color_2 Semantic_1
1546954658467;103.786;-39.9;10;Visual2019-10;V1;1117;-1;7458;-1;1;dog;119+35+120+121+122+123+124+125+126+127+128+129+130+131+132;0;;;1;1;0;0;0;0;off;off;None;Semantic_1;1546954554681;1546954726644;1546954618567;TRUE;1546954658529;1546954658536;0.006015;KW_1 Color_1 Color_2
1546954684608;129.927;-66.041;12;Visual2019-10;V1;989;-1;1358;-1;1;dog;119+35+120+121+122+123+124+125+126+127+128+129+130+131+132;0;;;1;1;0;0;0;0;external;off;Semantic;External_1;1546954554681;1546954726644;1546954618567;TRUE;1546954684673;1546954684674;0.0009971;KW_1 Color_1 Color_2 Semantic_1
1546954700876;146.195;-82.309;14;Visual2019-10;V1;5;-1;6;-1;1;dog;119+35+120+121+122+123+124+125+126+127+128+129+130+131+132;0;;;1;1;0;0;0;0;off;off;Keyword;External_1;1546954554681;1546954726644;1546954618567;TRUE;1546954700904;1546954700905;0.0009966;KW_1 Color_1 Color_2
1546954706762;152.081;-88.195;15;Visual2019-10;V1;703;-1;898;-1;1;dog;119+35+120+121+122+123+124+125+126+127+128+129+130+131+132;0;;;1;1;0;0;0;0;external;off;Semantic;External_1;1546954554681;1546954726644;1546954618567;TRUE;1546954706825;1546954706832;0.0069843;KW_1 Color_1 Color_2 Semantic_1
1546955802323;14.436;81.233;1;Textual2019-20;T2;5;5;1;1;1;piano;650;0;;;0;0;0;0;0;0;off;off;Keyword;KW_1;1546955787887;1546956267900;1546955883556;FALSE;1546955802588;1546955802593;0.0059845;KW_1
1546955817233;29.346;66.323;2;Textual2019-20;T2;6694;-1;12135;-1;1;piano;650;0;;;0;0;0;0;0;0;external;off;Semantic;External_1;1546955787887;1546956267900;1546955883556;FALSE;1546955817297;1546955817306;0.0089767;KW_1 Semantic_1
1546955820428;32.541;63.128;3;Textual2019-20;T2;5165;-1;179872;180048;0;;;1;piano;650;0;0;0;0;0;0;off;off;None;External_1;1546955787887;1546956267900;1546955883556;FALSE;;;;KW_2
1546955822501;34.614;61.055;3;Textual2019-20;T2;156;1280;NA;NA;1;piano;650;0;;;0;0;0;0;0;0;off;external;Semantic;External_2;1546955787887;1546956267900;1546955883556;FALSE;1546955822559;1546955830388;7.8289452;KW_1 Semantic_2
