"Closes_ResetAll";"Server_Start";"Server_End"
-Inf;1546952853038;1546953333051
1546954545130;1546954554681;1546954726644
1546954769935;1546955787887;1546956267900
1546954769935;1546956324973;1546956624987
1546957121452;1546957127688;1546957607704
1546957533834;1546957646288;1546957946298
1546958399396;1546958710673;1546959190694
1546959246691;1546959247752;1546959441229
1546960232718;1546960239370;1546960719387
1546960646883;1546960777396;1546960907813
1546961301867;1546961463928;1546961943949
1546961955331;1546961993046;1546962473061
1546962501362;1546962894788;1546963374828
1547043273275;1547043528808;1547043829009
1547044521684;1547044541133;1547044841162
1547046105507;1547046111461;1547046411515
1547046242531;1547048951989;1547049252051
1547049141247;1547049281939;1547049582036
1547049985955;1547050002075;1547050302130
1547050338043;1547050340119;1547050640246
1547050713075;1547050753168;1547051053300
1547050838571;1547051091418;1547051391512
1547051420324;1547051423500;1547051559966
